-5 -4.27551e+13
-4.9 -0.100389
-4.8 -0.0624234
-4.7 -0.0535413
-4.6 -0.0536646
-4.5 -0.0600196
-4.4 -0.0740662
-4.3 -0.101981
-4.2 -0.164061
-4.1 -0.363973
-4 -1.28733e+13
-3.9 0.491906
-3.8 0.299632
-3.7 0.251644
-3.6 0.246857
-3.5 0.270088
-3.4 0.325891
-3.3 0.438517
-3.2 0.689056
-3.1 1.49229
-3 nan
-2.9 -1.91843
-2.8 -1.1386
-2.7 -0.931083
-2.6 -0.888686
-2.5 -0.945309
-2.4 -1.10803
-2.3 -1.44711
-2.2 -2.20498
-2.1 -4.6261
-2 -3.0896e+14
-1.9 5.56345
-1.8 3.18809
-1.7 2.51392
-1.6 2.31058
-1.5 2.36327
-1.4 2.65927
-1.3 3.32835
-1.2 4.85096
-1.1 9.71481
-1 nan
-0.9 -10.5706
-0.8 -5.73855
-0.7 -4.27367
-0.6 -3.69693
-0.5 -3.54491
-0.4 -3.72298
-0.3 -4.32685
-0.2 -5.82115
-0.1 -10.6863
-1.02696e-15 -9.73751e+14
0.1 9.51351
0.2 4.59084
0.3 2.99157
0.4 2.21816
0.5 1.77245
0.6 1.48919
0.7 1.29806
0.8 1.16423
0.9 1.06863
1 1
1.1 0.951351
1.2 0.918169
1.3 0.897471
1.4 0.887264
1.5 0.886227
1.6 0.893515
1.7 0.908639
1.8 0.931384
1.9 0.961766
2 1
2.1 1.04649
2.2 1.1018
2.3 1.16671
2.4 1.24217
2.5 1.32934
2.6 1.42962
2.7 1.54469
2.8 1.67649
2.9 1.82736
3 2
3.1 2.19762
3.2 2.42397
3.3 2.68344
3.4 2.98121
3.5 3.32335
3.6 3.71702
3.7 4.17065
3.8 4.69417
3.9 5.29933
4 6
4.1 6.81262
4.2 7.75669
4.3 8.85534
4.4 10.1361
4.5 11.6317
4.6 13.3813
4.7 15.4314
4.8 17.8379
4.9 20.6674
5 24
