0 0 0 0 0 0 0
0.1 0.00325975 0.000408889 0.000123914 0.00327492 0.000408308 0.000120922
0.2 0.010679 0.00132848 0.000401977 0.0107251 0.00132634 0.00039221
0.3 0.0196787 0.00241296 0.000728154 0.0197572 0.00240859 0.000710343
0.4 0.0286523 0.00343904 0.00103364 0.0287571 0.00343204 0.00100817
0.5 0.0366662 0.00427444 0.00127765 0.0367879 0.00426467 0.00124591
0.6 0.0432427 0.00485296 0.00144006 0.043372 0.00484052 0.00140396
0.7 0.048205 0.00515512 0.00151548 0.048333 0.00514028 0.00147709
0.8 0.0515657 0.00519309 0.00150862 0.0516855 0.00517627 0.00146995
0.9 0.0534504 0.00499927 0.00143072 0.0535568 0.00498099 0.00139354
1 0.0540445 0.00461766 0.00129673 0.0541341 0.00459849 0.00126248
1.1 0.0535577 0.00409752 0.00112326 0.0536287 0.00407809 0.001093
1.2 0.0522017 0.00348885 0.000927066 0.0522535 0.00346976 0.00090148
1.3 0.0501758 0.00283921 0.000723974 0.0502089 0.00282104 0.00070336
1.4 0.0476594 0.00219168 0.000528155 0.0476751 0.00217499 0.000512478
1.5 0.0448085 0.00158361 0.000351699 0.0448084 0.00156888 0.000340629
1.6 0.0417545 0.00104605 0.000204387 0.0417405 0.00103371 0.00019735
1.7 0.0386052 0.000603558 9.36308e-05 0.0385795 0.00059395 8.98626e-05
1.8 0.0354469 0.00027438 2.4533e-05 0.0354115 0.000267784 2.31317e-05
1.9 0.0323464 7.08751e-05 3.2512e-08 0.0323034 6.74928e-05 8.26855e-09
2 0.0293538 4.22218e-08 2.11063e-05 0.029305 0 2.14274e-05
2.1 0.026505 6.41492e-05 8.70073e-05 0.0264522 6.75041e-05 8.66414e-05
2.2 0.0238243 0.000261399 0.000195521 0.0237689 0.000268144 0.00019347
2.3 0.0213263 0.000586598 0.000343227 0.0212697 0.000596665 0.000338558
2.4 0.0190181 0.0010318 0.000525753 0.0189613 0.00104507 0.000517621
2.5 0.0169009 0.00158691 0.000738022 0.0168449 0.00160322 0.000725688
2.6 0.0149714 0.00224025 0.000974476 0.0149168 0.0022594 0.000957321
2.7 0.0132229 0.00297906 0.00122928 0.0131704 0.00300081 0.00120681
2.8 0.0116467 0.00378991 0.00149651 0.0115965 0.00381401 0.00146837
