0 0 0
13.9 -0.0206989 0.0679147 -0.0177284
14 -0.0183591 0.107062 -0.0171279
14.1 -0.016002 -0.0168161 -0.0165456
14.2 -0.0136302 0.00419129 -0.0159813
14.3 -0.0112459 0.0928916 -0.0154344
14.4 -0.00885135 -0.047411 -0.0149046
14.5 -0.00644889 -0.0709039 -0.0143912
14.6 -0.00404072 -0.0292893 -0.013894
14.7 -0.001629 0.0897288 -0.0134126
14.8 0.00078413 -0.0312874 -0.0129464
14.9 0.00319659 0.000977214 -0.012495
15 0.00560633 0.0512437 -0.0120582
15.1 0.00801136 0.104959 -0.0116354
15.2 0.0104097 0.0472883 -0.0112262
15.3 0.0127995 0.0156096 -0.0108304
15.4 0.0151789 0.083628 -0.0104475
15.5 0.017546 0.100978 -0.0100772
15.6 0.0198992 0.0337244 -0.009719
15.7 0.0222366 -0.0734018 -0.00937267
15.8 0.0245566 0.101606 -0.00903784
15.9 0.0268577 0.0575534 -0.00871417
16 0.0291382 -0.0442486 -0.00840131
16.1 0.0313967 0.0821844 -0.00809896
16.2 0.0336316 0.0894556 -0.0078068
16.3 0.0358415 0.0871072 -0.00752452
16.4 0.0380252 0.0115031 -0.00725181
16.5 0.0401812 -0.025197 -0.0069884
16.6 0.0423082 0.0837338 -0.00673398
16.7 0.0444052 0.0472887 -0.00648828
16.8 0.0464708 -0.052866 -0.00625104
16.9 0.048504 0.0738772 -0.00602198
17 0.0505038 -0.00108086 -0.00580086
17.1 0.0524689 -0.0623234 -0.00558741
17.2 0.0543986 -0.0596757 -0.00538139
17.3 0.0562918 0.0861736 -0.00518257
17.4 0.0581476 0.113448 -0.00499072
17.5 0.0599653 -0.0243737 -0.0048056
17.6 0.0617439 0.0978317 -0.00462701
17.7 0.0634828 -0.033415 -0.00445473
17.8 0.0651813 -0.0523398 -0.00428856
17.9 0.0668386 -0.0512573 -0.00412828
18 0.0684542 0.0496677 -0.00397372
18.1 0.0700274 0.0809298 -0.00382467
18.2 0.0715578 -0.064339 -0.00368096
18.3 0.0730447 -0.021139 -0.00354241
18.4 0.0744879 -0.0215979 -0.00340885
18.5 0.0758867 0.101121 -0.0032801
18.6 0.0772409 -0.0383487 -0.003156
18.7 0.0785501 0.0939299 -0.0030364
18.8 0.0798139 0.109524 -0.00292115
18.9 0.0810322 -0.0549272 -0.00281009
19 0.0822047 0.0333199 -0.00270309
19.1 0.0833311 -0.0528582 -0.00259999
19.2 0.0844113 0.109162 -0.00250068
19.3 0.0854451 0.00472741 -0.00240501
19.4 0.0864325 -0.0837442 -0.00231286
19.5 0.0873734 0.0027346 -0.00222411
19.6 0.0882677 0.0616694 -0.00213864
19.7 0.0891154 0.0822054 -0.00205633
19.8 0.0899165 -0.0676775 -0.00197708
19.9 0.0906712 0.0911923 -0.00190078
20 0.0913793 0.0385672 -0.00182731
20.1 0.0920411 0.0138277 -0.00175659
20.2 0.0926566 0.111562 -0.00168851
20.3 0.0932261 0.0616964 -0.00162298
20.4 0.0937496 -0.0170768 -0.00155991
20.5 0.0942274 0.108053 -0.00149921
20.6 0.0946597 -0.0795082 -0.00144079
20.7 0.0950467 -0.0359462 -0.00138458
20.8 0.0953887 -0.041929 -0.0013305
20.9 0.0956859 -0.0482779 -0.00127846
21 0.0959388 -0.0034927 -0.00122839
21.1 0.0961475 0.0915933 -0.00118022
21.2 0.0963124 -0.0833467 -0.00113389
21.3 0.096434 0.0163193 -0.00108932
21.4 0.0965125 -0.0452427 -0.00104645
21.5 0.0965483 -0.0204873 -0.00100522
21.6 0.0965419 0.00205422 -0.000965571
21.7 0.0964936 0.00118098 -0.00092744
21.8 0.096404 -0.0416246 -0.000890773
21.9 0.0962734 -0.00332717 -0.000855515
22 0.0961023 0.0315118 -0.000821615
22.1 0.0958912 0.077118 -0.000789022
22.2 0.0956405 0.0294032 -0.000757688
22.3 0.0953508 0.0264294 -0.000727566
22.4 0.0950225 -0.0322316 -0.00069861
22.5 0.0946562 0.0317504 -0.000670777
22.6 0.0942524 -0.0845756 -0.000644025
22.7 0.0938117 -0.0841322 -0.000618314
22.8 0.0933344 0.000555576 -0.000593603
22.9 0.0928213 -0.0654832 -0.000569856
23 0.0922729 0.0940001 -0.000547036
23.1 0.0916896 -0.073767 -0.000525107
23.2 0.0910722 0.035625 -0.000504038
23.3 0.0904211 0.0930124 -0.000483793
23.4 0.0897369 0.0755496 -0.000464343
23.5 0.0890202 0.106338 -0.000445657
23.6 0.0882716 0.0890241 -0.000427707
23.7 0.0874917 0.0841682 -0.000410462
23.8 0.0866811 -0.041314 -0.000393898
23.9 0.0858403 -0.0644432 -0.000377988
24 0.08497 -0.0754816 -0.000362706
24.1 0.0840707 0.0439871 -0.000348029
24.2 0.0831431 -0.0838914 -0.000333934
24.3 0.0821877 -0.069706 -0.000320397
24.4 0.0812051 -0.0504085 -0.000307397
24.5 0.080196 -0.0396872 -0.000294915
24.6 0.079161 -0.000585686 -0.000282928
24.7 0.0781005 0.0414128 -0.000271419
24.8 0.0770153 0.0514193 -0.000260369
24.9 0.075906 0.0478724 -0.00024976
25 0.074773 -0.0716757 -0.000239575
25.1 0.0736171 -0.0266756 -0.000229797
25.2 0.0724388 0.015537 -0.000220411
25.3 0.0712387 0.0484259 -0.000211401
25.4 0.0700173 0.0906028 -0.000202752
25.5 0.0687753 0.0743035 -0.00019445
25.6 0.0675133 -0.0286778 -0.000186482
25.7 0.0662317 0.0973192 -0.000178835
25.8 0.0649313 0.081608 -0.000171496
25.9 0.0636125 0.0634577 -0.000164452
26 0.0622759 -0.0764424 -0.000157693
26.1 0.0609221 0.06747 -0.000151206
26.2 0.0595516 0.0816912 -0.000144982
26.3 0.058165 0.05132 -0.00013901
26.4 0.0567628 0.0527552 -0.000133279
26.5 0.0553456 0.0496474 -0.000127781
26.6 0.0539138 0.0501965 -0.000122505
26.7 0.0524681 0.0344488 -0.000117444
26.8 0.0510089 0.0266142 -0.000112589
26.9 0.0495368 0.101808 -0.000107931
27 0.0480523 0.0630574 -0.000103463
27.1 0.0465558 0.0443085 -9.91763e-05
27.2 0.0450479 0.039094 -9.50647e-05
27.3 0.0435291 0.0725854 -9.1121e-05
27.4 0.0419999 0.0681411 -8.73383e-05
27.5 0.0404606 0.0823417 -8.37103e-05
27.6 0.0389119 -0.0733295 -8.02306e-05
27.7 0.0373541 -0.0385578 -7.68934e-05
27.8 0.0357878 0.0177542 -7.3693e-05
27.9 0.0342134 0.0722006 -7.06238e-05
28 0.0326313 -0.096465 -6.76805e-05
28.1 0.0310419 0.0404069 -6.48581e-05
28.2 0.0294458 -0.0600401 -6.21517e-05
28.3 0.0278432 0.0136117 -5.95567e-05
28.4 0.0262348 -0.0165241 -5.70684e-05
28.5 0.0246207 -0.0746926 -5.46826e-05
28.6 0.0230015 -0.0172398 -5.23952e-05
28.7 0.0213776 0.0497417 -5.02022e-05
28.8 0.0197493 -0.0823326 -4.80996e-05
28.9 0.018117 -0.0404954 -4.6084e-05
29 0.0164811 0.00842993 -4.41516e-05
29.1 0.0148419 -0.0634519 -4.22992e-05
29.2 0.0131999 -0.0776112 -4.05235e-05
29.3 0.0115553 -0.014375 -3.88214e-05
29.4 0.00990849 0.0834602 -3.71898e-05
29.5 0.00825986 0.0708228 -3.56259e-05
29.6 0.00660968 -0.0689635 -3.41269e-05
29.7 0.0049583 0.0295048 -3.26902e-05
29.8 0.00330603 0.00120228 -3.13133e-05
29.9 0.00165316 0.0536625 -2.99936e-05
